ISO6393,language,RTC,latitude,longitude,macroarea
aaa,Ghotuo,1,7.11551,5.95663,Africa
aab,Alumu-Tesu,2,9.01513,8.55956,Africa
aac,Ari,1,-7.95526,142.4,Papunesia
aad,Amal,1,-4.04517,141.995,Papunesia
aaf,Aranadan,1,11.35252,75.79538,Eurasia
aai,Arifama-Miniafia,12,-9.15565,149.246,Papunesia
aak,Ankave,1,-7.19444,145.754,Papunesia
aal,Afade,2,12.0551,14.6343,Africa
aao,Algerian Saharan Arabic,1,20.8884,4.80626,Africa
aap,Pará Arára,1,-3.71263,306.9343,South America
aar,Afar,552,12.2281,41.8083,Africa
aau,Abau,6,-3.97222,141.324,Papunesia
aaw,Solong,1,-5.86129,148.825,Papunesia
aaz,Amarasi,2,-10.21751,123.96373,Papunesia
aba,Abé,2,5.59682,-4.38497,Africa
abh,Tajiki Arabic,1,37.2176,67.3267,Eurasia
abi,Abidji,8,5.65656,-4.58421,Africa
abk,Abkhaz,256,43.056218,41.159115,Eurasia
abm,Abanyom,1,6.30619,8.63055,Africa
abn,Abua,3,4.83057,6.61492,Africa
abo,Abon,2,6.90621,10.8769,Africa
abq,Abaza,1,44.25,42,Eurasia
abr,Abron,2,7.72094,-2.50289,Africa
abs,Ambonese Malay,2,-3.71342,128.184,Papunesia
abt,Ambulas,67,-3.7801,143.059,Papunesia
abu,Abure,2,5.21534,-3.64123,Africa
abx,Inabaknon,1,12.4264,124.166,Papunesia
aby,Aneme Wake,1,-9.75911,148.479,Papunesia
abz,Abui,2,-8.31058,124.588,Papunesia
aca,Achagua,2,4.38649,287.7995,South America
acd,Gikyode,8,8.39478,0.56975,Africa
ace,Achinese,158,3.90757,96.6032,Papunesia
acf,Saint Lucian Creole French,86,15.3947,298.6359,North America
ach,Acoli,85,3.57738,32.5147,Africa
acm,Mesopotamian Arabic,69,33.8178,43.1095,Eurasia
acn,Achang,6,24.3479,97.7438,Eurasia
acq,Ta'izzi-Adeni Arabic,68,13.6555,45.6411,Eurasia
acr,Achi,6,15.073,269.6487,North America
acu,Achuar-Shiwiar,2,-2.82646,282.7359,South America
acv,Achumawi,1,41.0979,238.809,North America
acw,Hijazi Arabic,1,22.8346,38.9237,Eurasia
acz,Acheron,2,10.8827,30.3187,Africa
ada,Adangme,70,5.9437,0.13243,Africa
add,Lidzonka,2,6.89005,10.7633,Africa
ade,Adele,8,8.16975,0.619185,Africa
adh,Adhola,67,0.73235,34.0341,Africa
adi,Adi,2,27.62812,94.3538,Eurasia
adj,Adioukrou,8,5.38228,-4.52522,Africa
adl,Galo,2,27.9805586,94.6884956,Eurasia
adn,Adang,1,-8.18958,124.448,Papunesia
ado,Abu,1,-4.24027,144.474,Papunesia
adq,Adangbe,2,6.50546,0.727155,Africa
adx,Amdo Tibetan,2,34.5177,100.485,Eurasia
ady,Adyghe,77,44,39.33,Eurasia
adz,Adzera,2,-6.39394,146.294,Papunesia
aeb,Tunisian Arabic,81,33.7966,9.56156,Africa
aec,Saidi Arabic,2,25.4132,30.5302,Africa
aed,Argentine Sign Language,4,-34.797,300.8202,South America
aee,Northeast Pashai,1,34.878256,70.890845,Eurasia
ael,Ambele,2,5.94043,9.62028,Africa
aer,Eastern Arrernte,1,-23.3583,135.046,Australia
aeu,Akeu,6,22.1959,101.0823,Eurasia
aey,Amele,6,-5.29126,145.687,Papunesia
aez,Aeka,1,-8.855095,147.99477,Papunesia
afb,Gulf Arabic,6,30.17,47.5,Eurasia
afe,Putukwam,2,6.65923,8.96041,Africa
afi,Akrukay,1,-4.88687,144.821,Papunesia
