country_code,country,ISO6393,population,glottocode,macroarea,family,language
AF,Afghanistan,afg,190000,afgh1239,Eurasia,Sign Language,Afghan Sign Language
AF,Afghanistan,aiq,1400000,aima1241,Eurasia,Indo-European,Aimaq
AF,Afghanistan,abh,19000,taji1248,Eurasia,Afro-Asiatic,"Arabic, Tajiki Spoken"
AF,Afghanistan,ask,40000,ashk1246,Eurasia,Indo-European,Ashkun
AF,Afghanistan,azb,16000,sout2697,Eurasia,Turkic,"Azerbaijani, South"
AF,Afghanistan,bgn,507000,west2368,Eurasia,Indo-European,"Balochi, Western"
AF,Afghanistan,brh,350000,brah1256,Eurasia,Dravidian,Brahui
AF,Afghanistan,prs,12049200,dari1249,Eurasia,Indo-European,Dari
AF,Afghanistan,gwt,32000,gawa1247,Eurasia,Indo-European,Gawar-Bati
AF,Afghanistan,nli,5000,gran1245,Eurasia,Indo-European,Grangali
AF,Afghanistan,gju,20000,guja1253,Eurasia,Indo-European,Gujari
AF,Afghanistan,haz,3120000,haza1239,Eurasia,Indo-European,Hazaragi
AF,Afghanistan,isk,2500,ishk1246,Eurasia,Indo-European,Ishkashimi
AF,Afghanistan,kaa,3500,kara1467,Eurasia,Turkic,Karakalpak
AF,Afghanistan,bsh,128000,kati1270,Eurasia,Indo-European,Kati
AF,Afghanistan,kaz,3500,kaza1248,Eurasia,Turkic,Kazakh
AF,Afghanistan,kir,1400,kirg1245,Eurasia,Turkic,Kyrgyz
AF,Afghanistan,mnj,5300,munj1244,Eurasia,Indo-European,Munji
AF,Afghanistan,oru,50,ormu1247,Eurasia,Indo-European,Ormuri
AF,Afghanistan,prc,3500,para1299,Eurasia,Indo-European,Parachi
AF,Afghanistan,paq,400,pary1242,Eurasia,Indo-European,Parya
AF,Afghanistan,aee,54400,nort2666,Eurasia,Indo-European,"Pashai, Northeast"
AF,Afghanistan,glh,70000,nort2665,Eurasia,Indo-European,"Pashai, Northwest"
AF,Afghanistan,psi,180000,sout2672,Eurasia,Indo-European,"Pashai, Southeast"
AF,Afghanistan,psh,100000,sout2671,Eurasia,Indo-European,"Pashai, Southwest"
AF,Afghanistan,pbu,7295700,nort2646,Eurasia,Indo-European,"Pashto, Northern"
AF,Afghanistan,pbt,6685700,sout2649,Eurasia,Indo-European,"Pashto, Southern"
AF,Afghanistan,pes,719000,west2369,Eurasia,Indo-European,"Persian, Iranian"
AF,Afghanistan,prn,8000,pras1239,Eurasia,Indo-European,Prasuni
AF,Afghanistan,sgy,2200,sang1344,Eurasia,Indo-European,Sanglechi
AF,Afghanistan,sdg,5000,savi1242,Eurasia,Indo-European,Savi
AF,Afghanistan,sgh,40000,shug1248,Eurasia,Indo-European,Shughni
AF,Afghanistan,sts,1000,shum1235,Eurasia,Indo-European,Shumashti
AF,Afghanistan,tra,100,tira1253,Eurasia,Indo-European,Tirahi
AF,Afghanistan,trm,3500,treg1243,Eurasia,Indo-European,Tregami
AF,Afghanistan,tuk,2356000,turk1304,Eurasia,Turkic,Turkmen
AF,Afghanistan,urd,16900,urdu1245,Eurasia,Indo-European,Urdu
AF,Afghanistan,uzs,3660000,sout2699,Eurasia,Turkic,"Uzbek, Southern"
AF,Afghanistan,wbk,28000,waig1243,Eurasia,Indo-European,Waigali
