ISO6393,language,glottocode,family,macroarea,population,population_category
aaa,Ghotuo,ghot1243,Atlantic-Congo,Africa,9000,Lower-Mid
aab,Arum,alum1246,Atlantic-Congo,Africa,10000,Lower-Mid
aac,Ari,arii1243,Suki-Gogodala,Papunesia,50,Low
aad,Amal,amal1242,Sepik,Papunesia,830,Low
aae,"Albanian, Arbëreshë",arbe1236,Indo-European,Eurasia,100000,High
aaf,Aranadan,aran1261,Dravidian,Eurasia,200,Low
aag,Ambrak,ambr1239,Nuclear Torricelli,Papunesia,290,Low
aah,Abu’,abua1245,Nuclear Torricelli,Papunesia,2560,Lower-Mid
aai,Miniafia Oyan,arif1239,Austronesian,Papunesia,3470,Lower-Mid
aak,Ankave,anka1246,Angan,Papunesia,1500,Lower-Mid
aal,Afade,afad1236,Afro-Asiatic,Africa,49000,Upper-Mid
aan,Anambé,anam1249,Tupian,South America,6,Low
aao,"Arabic, Algerian Saharan Spoken",alge1240,Afro-Asiatic,Africa,405000,High
aap,"Arára, Pará",para1310,Cariban,South America,340,Low
aar,Afar,afar1241,Afro-Asiatic,Africa,2492800,High
aat,"Albanian, Arvanitika",arva1236,Indo-European,Eurasia,50000,Upper-Mid
aau,Abau,abau1245,Sepik,Papunesia,7500,Lower-Mid
aaw,Solong,solo1258,Austronesian,Papunesia,4160,Lower-Mid
aax,Mandobo Atas,mand1444,Nuclear Trans New Guinea,Papunesia,11000,Upper-Mid
aaz,Amarasi,amar1273,Austronesian,Papunesia,70000,Upper-Mid
aba,Abé,abee1242,Atlantic-Congo,Africa,268000,High
abb,Bankon,bank1256,Atlantic-Congo,Africa,12000,Upper-Mid
abc,"Ayta, Ambala",amba1267,Austronesian,Papunesia,1660,Lower-Mid
abd,Manide,cama1250,Austronesian,Papunesia,3800,Lower-Mid
abe,"Abenaki, Western",west2630,Algic,North America,10,Low
abf,Abai Sungai,abai1240,Austronesian,Papunesia,500,Low
abg,Wagama,abag1245,Nuclear Trans New Guinea,Papunesia,200,Low
abh,"Arabic, Tajiki Spoken",taji1248,Afro-Asiatic,Eurasia,20300,Upper-Mid
abi,Abidji,abid1235,Atlantic-Congo,Africa,85000,High
abk,Abkhaz,abkh1244,Abkhaz-Adyge,Eurasia,188900,High
abl,Lampung Nyo,lamp1242,Austronesian,Papunesia,180000,High
abm,Abanyom,aban1242,Atlantic-Congo,Africa,12500,Upper-Mid
abn,Abua,abua1244,Atlantic-Congo,Africa,25000,Upper-Mid
abo,Abon,abon1238,Atlantic-Congo,Africa,2200,Lower-Mid
abp,"Ayta, Abellen",aben1249,Austronesian,Papunesia,3000,Lower-Mid
abq,Abaza,abaz1241,Abkhaz-Adyge,Eurasia,51000,Upper-Mid
abr,Abron,abro1238,Atlantic-Congo,Africa,1393000,High
abs,"Malay, Ambonese",ambo1250,Austronesian,Papunesia,395950,High
abt,Ambulas,ambu1247,Ndu,Papunesia,33000,Upper-Mid
abu,Abure,abur1243,Atlantic-Congo,Africa,93000,High
abv,"Arabic, Baharna Spoken",baha1259,Afro-Asiatic,Eurasia,727000,High
